Model type: 	Bend axon, antidromic
Parameter ID:	166
Pulse duration in ms:	0.0100
Field orientation in degrees:	125.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.1446 kV/m: 	 no AP.
Increasing amplitude: 	0.1577 kV/m: 	 no AP.
Increasing amplitude: 	0.1720 kV/m: 	 no AP.
Increasing amplitude: 	0.1876 kV/m: 	 no AP.
Increasing amplitude: 	0.2045 kV/m: 	 no AP.
Increasing amplitude: 	0.2230 kV/m: 	 no AP.
Increasing amplitude: 	0.2432 kV/m: 	 no AP.
Increasing amplitude: 	0.2652 kV/m: 	 no AP.
Increasing amplitude: 	0.2893 kV/m: 	 no AP.
Increasing amplitude: 	0.3154 kV/m: 	 no AP.
Increasing amplitude: 	0.3440 kV/m: 	 no AP.
Increasing amplitude: 	0.3751 kV/m: 	 no AP.
Increasing amplitude: 	0.4091 kV/m: 	 no AP.
Increasing amplitude: 	0.4461 kV/m: 	 no AP.
Increasing amplitude: 	0.4865 kV/m: 	 no AP.
Increasing amplitude: 	0.5305 kV/m: 	 no AP.
Increasing amplitude: 	0.5785 kV/m: 	 no AP.
Increasing amplitude: 	0.6309 kV/m: 	 no AP.
Increasing amplitude: 	0.6880 kV/m: 	 no AP.
Increasing amplitude: 	0.7502 kV/m: 	 no AP.
Increasing amplitude: 	0.8181 kV/m: 	 no AP.
Increasing amplitude: 	0.8922 kV/m: 	 no AP.
Increasing amplitude: 	0.9729 kV/m: 	 no AP.
Increasing amplitude: 	1.0610 kV/m: 	 no AP.
Increasing amplitude: 	1.1570 kV/m: 	 no AP.
Increasing amplitude: 	1.2617 kV/m: 	 no AP.
Increasing amplitude: 	1.3759 kV/m: 	 no AP.
Increasing amplitude: 	1.5004 kV/m: 	 no AP.
Increasing amplitude: 	1.6362 kV/m: 	 no AP.
Increasing amplitude: 	1.7843 kV/m: 	 no AP.
Increasing amplitude: 	1.9458 kV/m: 	 no AP.
Increasing amplitude: 	2.1219 kV/m: 	 no AP.
