Model type: 	Bend axon, antidromic
Parameter ID:	282
Pulse duration in ms:	0.0680
Field orientation in degrees:	114.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	22.7194  V/m: 	 no AP.
Increasing amplitude: 	24.7757  V/m: 	 no AP.
Increasing amplitude: 	27.0181  V/m: 	 no AP.
Increasing amplitude: 	29.4635  V/m: 	 no AP.
Increasing amplitude: 	32.1301  V/m: 	 no AP.
Increasing amplitude: 	35.0382  V/m: 	 no AP.
Increasing amplitude: 	38.2094  V/m: 	 no AP.
Increasing amplitude: 	41.6676  V/m: 	 no AP.
Increasing amplitude: 	45.4389  V/m: 	 no AP.
Increasing amplitude: 	49.5514  V/m: 	 no AP.
Increasing amplitude: 	54.0362  V/m: 	 no AP.
Increasing amplitude: 	58.9269  V/m: 	 no AP.
Increasing amplitude: 	64.2603  V/m: 	 no AP.
Increasing amplitude: 	70.0763  V/m: 	 no AP.
Increasing amplitude: 	76.4188  V/m: 	 no AP.
Increasing amplitude: 	83.3352  V/m: 	 no AP.
Increasing amplitude: 	90.8777  V/m: 	 no AP.
Increasing amplitude: 	99.1029  V/m: 	 no AP.
Increasing amplitude: 	0.1081 kV/m: 	 no AP.
Increasing amplitude: 	0.1179 kV/m: 	 no AP.
Increasing amplitude: 	0.1285 kV/m: 	 no AP.
Increasing amplitude: 	0.1402 kV/m: 	 no AP.
Increasing amplitude: 	0.1528 kV/m: 	 no AP.
Increasing amplitude: 	0.1667 kV/m: 	 no AP.
Increasing amplitude: 	0.1818 kV/m: 	 no AP.
Increasing amplitude: 	0.1982 kV/m: 	 no AP.
Increasing amplitude: 	0.2161 kV/m: 	 no AP.
Increasing amplitude: 	0.2357 kV/m: 	 no AP.
Increasing amplitude: 	0.2570 kV/m: 	 no AP.
Increasing amplitude: 	0.2803 kV/m: 	 no AP.
Increasing amplitude: 	0.3057 kV/m: 	 no AP.
Increasing amplitude: 	0.3333 kV/m: 	 no AP.
Increasing amplitude: 	0.3635 kV/m: 	 no AP.
Increasing amplitude: 	0.3964 kV/m: 	 no AP.
Increasing amplitude: 	0.4323 kV/m: 	 no AP.
Increasing amplitude: 	0.4714 kV/m: 	 no AP.
Increasing amplitude: 	0.5141 kV/m: 	 no AP.
Increasing amplitude: 	0.5606 kV/m: 	 no AP.
Increasing amplitude: 	0.6114 kV/m: 	 no AP.
Increasing amplitude: 	0.6667 kV/m: 	 no AP.
Increasing amplitude: 	0.7270 kV/m: 	 no AP.
Increasing amplitude: 	0.7928 kV/m: 	 no AP.
Increasing amplitude: 	0.8646 kV/m: 	 no AP.
Increasing amplitude: 	0.9428 kV/m: 	 no AP.
Increasing amplitude: 	1.0282 kV/m: 	 no AP.
Increasing amplitude: 	1.1212 kV/m: 	 no AP.
Increasing amplitude: 	1.2227 kV/m: 	 no AP.
Increasing amplitude: 	1.3334 kV/m: 	 no AP.
Increasing amplitude: 	1.4540 kV/m: 	 no AP.
Increasing amplitude: 	1.5856 kV/m: 	 no AP.
Increasing amplitude: 	1.7292 kV/m: 	 no AP.
Increasing amplitude: 	1.8857 kV/m: 	 no AP.
Increasing amplitude: 	2.0563 kV/m: 	 no AP.
Increasing amplitude: 	2.2424 kV/m: 	 no AP.
Increasing amplitude: 	2.4454 kV/m: 	 no AP.
Increasing amplitude: 	2.6667 kV/m: 	 no AP.
Increasing amplitude: 	2.9081 kV/m: 	 no AP.
Increasing amplitude: 	3.1713 kV/m: 	 no AP.
Increasing amplitude: 	3.4583 kV/m: 	 no AP.
Increasing amplitude: 	3.7713 kV/m: 	 no AP.
Increasing amplitude: 	4.1127 kV/m: 	 no AP.
Increasing amplitude: 	4.4849 kV/m: 	 no AP.
Increasing amplitude: 	4.8908 kV/m: 	 no AP.
Increasing amplitude: 	5.3335 kV/m: 	 no AP.
Increasing amplitude: 	5.8162 kV/m: 	 no AP.
Increasing amplitude: 	6.3426 kV/m: 	 no AP.
Increasing amplitude: 	6.9166 kV/m: 	 no AP.
Increasing amplitude: 	7.5426 kV/m: 	 no AP.
Increasing amplitude: 	8.2253 kV/m: 	 no AP.
Increasing amplitude: 	8.9698 kV/m: 	 no AP.
Increasing amplitude: 	9.7816 kV/m: 	 no AP.
Increasing amplitude: 	10.6669 kV/m: 	 no AP.
Increasing amplitude: 	11.6323 kV/m: 	 no AP.
Increasing amplitude: 	12.6852 kV/m: 	 no AP.
Increasing amplitude: 	13.8333 kV/m: 	 no AP.
Increasing amplitude: 	15.0853 kV/m: 	 no AP.
Increasing amplitude: 	16.4506 kV/m: 	 no AP.
Increasing amplitude: 	17.9395 kV/m: 	 no AP.
Increasing amplitude: 	19.5632 kV/m: 	 no AP.
Increasing amplitude: 	21.3338 kV/m: 	 no AP.
Increasing amplitude: 	23.2647 kV/m: 	 no AP.
Increasing amplitude: 	25.3703 kV/m: 	 no AP.
Increasing amplitude: 	27.6665 kV/m: 	 no AP.
Increasing amplitude: 	30.1706 kV/m: 	 no AP.
Increasing amplitude: 	32.9013 kV/m: 	 no AP.
Increasing amplitude: 	35.8791 kV/m: 	 no AP.
Increasing amplitude: 	39.1264 kV/m: 	 no AP.
Increasing amplitude: 	42.6676 kV/m: 	 no AP.
Increasing amplitude: 	46.5294 kV/m: 	 no AP.
Increasing amplitude: 	50.7407 kV/m: 	 no AP.
Increasing amplitude: 	55.3331 kV/m: 	 no AP.
Increasing amplitude: 	60.3412 kV/m: 	 no AP.
Increasing amplitude: 	65.8025 kV/m: 	 no AP.
Increasing amplitude: 	71.7581 kV/m: 	 no AP.
Increasing amplitude: 	78.2528 kV/m: 	 no AP.
Increasing amplitude: 	85.3353 kV/m: 	 no AP.
Increasing amplitude: 	93.0588 kV/m: 	 no AP.
Increasing amplitude: 	0.1015 MV/m: 	 no AP.
Increasing amplitude: 	0.1107 MV/m: 	 no AP.
Increasing amplitude: 	0.1207 MV/m: 	 no AP.
Increasing amplitude: 	0.1316 MV/m: 	 no AP.
Increasing amplitude: 	0.1435 MV/m: 	 no AP.
Increasing amplitude: 	0.1565 MV/m: 	 no AP.
Increasing amplitude: 	0.1707 MV/m: 	 no AP.
Increasing amplitude: 	0.1861 MV/m: 	 no AP.
Increasing amplitude: 	0.2030 MV/m: 	 no AP.
Increasing amplitude: 	0.2213 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 2.04 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	22.7194  V/m: 	 no AP.
Increasing amplitude: 	24.7757  V/m: 	 no AP.
Increasing amplitude: 	27.0181  V/m: 	 no AP.
Increasing amplitude: 	29.4635  V/m: 	 no AP.
Increasing amplitude: 	32.1301  V/m: 	 no AP.
Increasing amplitude: 	35.0382  V/m: 	 no AP.
Increasing amplitude: 	38.2094  V/m: 	 no AP.
Increasing amplitude: 	41.6676  V/m: 	 no AP.
Increasing amplitude: 	45.4389  V/m: 	 no AP.
Increasing amplitude: 	49.5514  V/m: 	 no AP.
Increasing amplitude: 	54.0362  V/m: 	 no AP.
Increasing amplitude: 	58.9269  V/m: 	 no AP.
Increasing amplitude: 	64.2603  V/m: 	 no AP.
Increasing amplitude: 	70.0763  V/m: 	 no AP.
Increasing amplitude: 	76.4188  V/m: 	 no AP.
Increasing amplitude: 	83.3352  V/m: 	 no AP.
Increasing amplitude: 	90.8777  V/m: 	 no AP.
Increasing amplitude: 	99.1029  V/m: 	 no AP.
Increasing amplitude: 	0.1081 kV/m: 	 no AP.
Increasing amplitude: 	0.1179 kV/m: 	 no AP.
Increasing amplitude: 	0.1285 kV/m: 	 no AP.
Increasing amplitude: 	0.1402 kV/m: 	 no AP.
Increasing amplitude: 	0.1528 kV/m: 	 no AP.
Increasing amplitude: 	0.1667 kV/m: 	 no AP.
Increasing amplitude: 	0.1818 kV/m: 	 no AP.
Increasing amplitude: 	0.1982 kV/m: 	 no AP.
Increasing amplitude: 	0.2161 kV/m: 	 no AP.
Increasing amplitude: 	0.2357 kV/m: 	 no AP.
Increasing amplitude: 	0.2570 kV/m: 	 no AP.
Increasing amplitude: 	0.2803 kV/m: 	 no AP.
Increasing amplitude: 	0.3057 kV/m: 	 no AP.
Increasing amplitude: 	0.3333 kV/m: 	 no AP.
Increasing amplitude: 	0.3635 kV/m: 	 no AP.
Increasing amplitude: 	0.3964 kV/m: 	 no AP.
Increasing amplitude: 	0.4323 kV/m: 	 no AP.
Increasing amplitude: 	0.4714 kV/m: 	 no AP.
Increasing amplitude: 	0.5141 kV/m: 	 no AP.
Increasing amplitude: 	0.5606 kV/m: 	 no AP.
Increasing amplitude: 	0.6114 kV/m: 	 no AP.
Increasing amplitude: 	0.6667 kV/m: 	 no AP.
Increasing amplitude: 	0.7270 kV/m: 	 no AP.
Increasing amplitude: 	0.7928 kV/m: 	 no AP.
Increasing amplitude: 	0.8646 kV/m: 	 no AP.
Increasing amplitude: 	0.9428 kV/m: 	 no AP.
Increasing amplitude: 	1.0282 kV/m: 	 no AP.
Increasing amplitude: 	1.1212 kV/m: 	 no AP.
Increasing amplitude: 	1.2227 kV/m: 	 no AP.
Increasing amplitude: 	1.3334 kV/m: 	 no AP.
Increasing amplitude: 	1.4540 kV/m: 	 no AP.
Increasing amplitude: 	1.5856 kV/m: 	 no AP.
Increasing amplitude: 	1.7292 kV/m: 	 no AP.
Increasing amplitude: 	1.8857 kV/m: 	 no AP.
Increasing amplitude: 	2.0563 kV/m: 	 no AP.
Increasing amplitude: 	2.2424 kV/m: 	 no AP.
Increasing amplitude: 	2.4454 kV/m: 	 no AP.
Increasing amplitude: 	2.6667 kV/m: 	 no AP.
Increasing amplitude: 	2.9081 kV/m: 	 no AP.
Increasing amplitude: 	3.1713 kV/m: 	 no AP.
Increasing amplitude: 	3.4583 kV/m: 	 no AP.
Increasing amplitude: 	3.7713 kV/m: 	 no AP.
Increasing amplitude: 	4.1127 kV/m: 	 no AP.
Increasing amplitude: 	4.4849 kV/m: 	 no AP.
Increasing amplitude: 	4.8908 kV/m: 	 no AP.
Increasing amplitude: 	5.3335 kV/m: 	 no AP.
Increasing amplitude: 	5.8162 kV/m: 	 no AP.
Increasing amplitude: 	6.3426 kV/m: 	 no AP.
Increasing amplitude: 	6.9166 kV/m: 	 no AP.
Increasing amplitude: 	7.5426 kV/m: 	 AP.
Lower bound: 6.9166 kV/m.   Upper bound: 7.5426 kV/m.   Search amplitude: 7.2229 kV/m: AP.
Lower bound: 6.9166 kV/m.   Upper bound: 7.2229 kV/m.   Search amplitude: 7.0681 kV/m: no AP.
Lower bound: 7.0681 kV/m.   Upper bound: 7.2229 kV/m.   Search amplitude: 7.1451 kV/m: AP.
Lower bound: 7.0681 kV/m.   Upper bound: 7.1451 kV/m.   Search amplitude: 7.1065 kV/m: no AP.
Lower bound: 7.1065 kV/m.   Upper bound: 7.1451 kV/m.   Search amplitude: 7.1257 kV/m: AP.
Binary search ended. Threshold: 7.1257 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 4.60 min.
 
-----------------------------------------------------------
Total run time: 6.648 min.
Results saved in UF_BndA_RMG/Results/result_282.mat.
