Model type: 	Bend axon, orthodromic
Parameter ID:	143
Pulse duration in ms:	0.0068
Field orientation in degrees:	130.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	4.1321 kV/m: 	 no AP.
Increasing amplitude: 	4.5060 kV/m: 	 no AP.
Increasing amplitude: 	4.9139 kV/m: 	 no AP.
Increasing amplitude: 	5.3586 kV/m: 	 no AP.
Increasing amplitude: 	5.8436 kV/m: 	 no AP.
Increasing amplitude: 	6.3725 kV/m: 	 no AP.
Increasing amplitude: 	6.9493 kV/m: 	 no AP.
Increasing amplitude: 	7.5782 kV/m: 	 no AP.
Increasing amplitude: 	8.2641 kV/m: 	 no AP.
Increasing amplitude: 	9.0121 kV/m: 	 no AP.
Increasing amplitude: 	9.8277 kV/m: 	 no AP.
Increasing amplitude: 	10.7172 kV/m: 	 no AP.
Increasing amplitude: 	11.6872 kV/m: 	 no AP.
Increasing amplitude: 	12.7450 kV/m: 	 no AP.
Increasing amplitude: 	13.8985 kV/m: 	 no AP.
Increasing amplitude: 	15.1564 kV/m: 	 no AP.
Increasing amplitude: 	16.5282 kV/m: 	 no AP.
Increasing amplitude: 	18.0241 kV/m: 	 no AP.
Increasing amplitude: 	19.6555 kV/m: 	 no AP.
Increasing amplitude: 	21.4344 kV/m: 	 no AP.
Increasing amplitude: 	23.3744 kV/m: 	 no AP.
Increasing amplitude: 	25.4900 kV/m: 	 no AP.
Increasing amplitude: 	27.7970 kV/m: 	 no AP.
Increasing amplitude: 	30.3129 kV/m: 	 no AP.
Increasing amplitude: 	33.0564 kV/m: 	 no AP.
Increasing amplitude: 	36.0483 kV/m: 	 no AP.
Increasing amplitude: 	39.3109 kV/m: 	 no AP.
Increasing amplitude: 	42.8689 kV/m: 	 no AP.
Increasing amplitude: 	46.7489 kV/m: 	 no AP.
Increasing amplitude: 	50.9800 kV/m: 	 no AP.
Increasing amplitude: 	55.5941 kV/m: 	 no AP.
Increasing amplitude: 	60.6258 kV/m: 	 no AP.
Increasing amplitude: 	66.1129 kV/m: 	 no AP.
Increasing amplitude: 	72.0966 kV/m: 	 no AP.
Increasing amplitude: 	78.6219 kV/m: 	 no AP.
Increasing amplitude: 	85.7378 kV/m: 	 no AP.
Increasing amplitude: 	93.4977 kV/m: 	 no AP.
Increasing amplitude: 	0.1020 MV/m: 	 no AP.
Increasing amplitude: 	0.1112 MV/m: 	 no AP.
Increasing amplitude: 	0.1213 MV/m: 	 no AP.
Increasing amplitude: 	0.1322 MV/m: 	 no AP.
Increasing amplitude: 	0.1442 MV/m: 	 no AP.
Increasing amplitude: 	0.1572 MV/m: 	 no AP.
Increasing amplitude: 	0.1715 MV/m: 	 no AP.
Increasing amplitude: 	0.1870 MV/m: 	 no AP.
Increasing amplitude: 	0.2039 MV/m: 	 no AP.
Increasing amplitude: 	0.2224 MV/m: 	 no AP.
Increasing amplitude: 	0.2425 MV/m: 	 no AP.
Increasing amplitude: 	0.2645 MV/m: 	 no AP.
Increasing amplitude: 	0.2884 MV/m: 	 no AP.
Increasing amplitude: 	0.3145 MV/m: 	 no AP.
Increasing amplitude: 	0.3430 MV/m: 	 no AP.
Increasing amplitude: 	0.3740 MV/m: 	 no AP.
Increasing amplitude: 	0.4078 MV/m: 	 no AP.
Increasing amplitude: 	0.4448 MV/m: 	 no AP.
Increasing amplitude: 	0.4850 MV/m: 	 no AP.
Increasing amplitude: 	0.5289 MV/m: 	 no AP.
Increasing amplitude: 	0.5768 MV/m: 	 no AP.
Increasing amplitude: 	0.6290 MV/m: 	 no AP.
Increasing amplitude: 	0.6859 MV/m: 	 no AP.
Increasing amplitude: 	0.7480 MV/m: 	 no AP.
Increasing amplitude: 	0.8157 MV/m: 	 no AP.
Increasing amplitude: 	0.8895 MV/m: 	 no AP.
Increasing amplitude: 	0.9700 MV/m: 	 no AP.
Increasing amplitude: 	1.0578 MV/m: 	 no AP.
Increasing amplitude: 	1.1535 MV/m: 	 no AP.
Increasing amplitude: 	1.2580 MV/m: 	 no AP.
Increasing amplitude: 	1.3718 MV/m: 	 no AP.
Increasing amplitude: 	1.4960 MV/m: 	 no AP.
Increasing amplitude: 	1.6314 MV/m: 	 no AP.
Increasing amplitude: 	1.7790 MV/m: 	 no AP.
Increasing amplitude: 	1.9400 MV/m: 	 no AP.
Increasing amplitude: 	2.1156 MV/m: 	 no AP.
Increasing amplitude: 	2.3071 MV/m: 	 no AP.
Increasing amplitude: 	2.5159 MV/m: 	 no AP.
Increasing amplitude: 	2.7436 MV/m: 	 no AP.
Increasing amplitude: 	2.9919 MV/m: 	 no AP.
Increasing amplitude: 	3.2627 MV/m: 	 no AP.
Increasing amplitude: 	3.5580 MV/m: 	 no AP.
Increasing amplitude: 	3.8800 MV/m: 	 no AP.
Increasing amplitude: 	4.2312 MV/m: 	 no AP.
Increasing amplitude: 	4.6142 MV/m: 	 no AP.
Increasing amplitude: 	5.0318 MV/m: 	 no AP.
Increasing amplitude: 	5.4872 MV/m: 	 no AP.
Increasing amplitude: 	5.9839 MV/m: 	 no AP.
Increasing amplitude: 	6.5254 MV/m: 	 no AP.
Increasing amplitude: 	7.1160 MV/m: 	 no AP.
Increasing amplitude: 	7.7601 MV/m: 	 no AP.
Increasing amplitude: 	8.4624 MV/m: 	 no AP.
Increasing amplitude: 	9.2284 MV/m: 	 no AP.
Increasing amplitude: 	10.0636 MV/m: 	 no AP.
Increasing amplitude: 	10.9744 MV/m: 	 no AP.
Increasing amplitude: 	11.9677 MV/m: 	 no AP.
Increasing amplitude: 	13.0509 MV/m: 	 no AP.
Increasing amplitude: 	14.2321 MV/m: 	 no AP.
Increasing amplitude: 	15.5202 MV/m: 	 no AP.
Increasing amplitude: 	16.9249 MV/m: 	 no AP.
Increasing amplitude: 	18.4567 MV/m: 	 no AP.
Increasing amplitude: 	20.1272 MV/m: 	 no AP.
Increasing amplitude: 	21.9489 MV/m: 	 no AP.
Increasing amplitude: 	23.9354 MV/m: 	 no AP.
Increasing amplitude: 	26.1018 MV/m: 	 no AP.
Increasing amplitude: 	28.4642 MV/m: 	 no AP.
Increasing amplitude: 	31.0404 MV/m: 	 no AP.
Increasing amplitude: 	33.8498 MV/m: 	 no AP.
Increasing amplitude: 	36.9135 MV/m: 	 no AP.
Increasing amplitude: 	40.2544 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 7.95 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	4.1321 kV/m: 	 no AP.
Increasing amplitude: 	4.5060 kV/m: 	 no AP.
Increasing amplitude: 	4.9139 kV/m: 	 no AP.
Increasing amplitude: 	5.3586 kV/m: 	 no AP.
Increasing amplitude: 	5.8436 kV/m: 	 no AP.
Increasing amplitude: 	6.3725 kV/m: 	 no AP.
Increasing amplitude: 	6.9493 kV/m: 	 no AP.
Increasing amplitude: 	7.5782 kV/m: 	 no AP.
Increasing amplitude: 	8.2641 kV/m: 	 no AP.
Increasing amplitude: 	9.0121 kV/m: 	 no AP.
Increasing amplitude: 	9.8277 kV/m: 	 no AP.
Increasing amplitude: 	10.7172 kV/m: 	 no AP.
Increasing amplitude: 	11.6872 kV/m: 	 no AP.
Increasing amplitude: 	12.7450 kV/m: 	 no AP.
Increasing amplitude: 	13.8985 kV/m: 	 no AP.
Increasing amplitude: 	15.1564 kV/m: 	 no AP.
Increasing amplitude: 	16.5282 kV/m: 	 no AP.
Increasing amplitude: 	18.0241 kV/m: 	 no AP.
Increasing amplitude: 	19.6555 kV/m: 	 no AP.
Increasing amplitude: 	21.4344 kV/m: 	 no AP.
Increasing amplitude: 	23.3744 kV/m: 	 no AP.
Increasing amplitude: 	25.4900 kV/m: 	 no AP.
Increasing amplitude: 	27.7970 kV/m: 	 no AP.
Increasing amplitude: 	30.3129 kV/m: 	 no AP.
Increasing amplitude: 	33.0564 kV/m: 	 no AP.
Increasing amplitude: 	36.0483 kV/m: 	 no AP.
Increasing amplitude: 	39.3109 kV/m: 	 no AP.
Increasing amplitude: 	42.8689 kV/m: 	 AP.
Lower bound: 39.3109 kV/m.   Upper bound: 42.8689 kV/m.   Search amplitude: 41.0514 kV/m: no AP.
Lower bound: 41.0514 kV/m.   Upper bound: 42.8689 kV/m.   Search amplitude: 41.9503 kV/m: AP.
Lower bound: 41.0514 kV/m.   Upper bound: 41.9503 kV/m.   Search amplitude: 41.4984 kV/m: AP.
Lower bound: 41.0514 kV/m.   Upper bound: 41.4984 kV/m.   Search amplitude: 41.2743 kV/m: no AP.
Lower bound: 41.2743 kV/m.   Upper bound: 41.4984 kV/m.   Search amplitude: 41.3862 kV/m: no AP.
Binary search ended. Threshold: 41.3862 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 14.40 min.
 
-----------------------------------------------------------
Total run time: 22.350 min.
Results saved in UF_BndO_HH/Results/result_143.mat.
