Model type: 	Bend axon, orthodromic
Parameter ID:	288
Pulse duration in ms:	0.0680
Field orientation in degrees:	135.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	22.1513  V/m: 	 no AP.
Increasing amplitude: 	24.1561  V/m: 	 no AP.
Increasing amplitude: 	26.3425  V/m: 	 no AP.
Increasing amplitude: 	28.7267  V/m: 	 no AP.
Increasing amplitude: 	31.3266  V/m: 	 no AP.
Increasing amplitude: 	34.1620  V/m: 	 no AP.
Increasing amplitude: 	37.2539  V/m: 	 no AP.
Increasing amplitude: 	40.6256  V/m: 	 no AP.
Increasing amplitude: 	44.3026  V/m: 	 no AP.
Increasing amplitude: 	48.3123  V/m: 	 no AP.
Increasing amplitude: 	52.6849  V/m: 	 no AP.
Increasing amplitude: 	57.4533  V/m: 	 no AP.
Increasing amplitude: 	62.6533  V/m: 	 no AP.
Increasing amplitude: 	68.3239  V/m: 	 no AP.
Increasing amplitude: 	74.5077  V/m: 	 no AP.
Increasing amplitude: 	81.2513  V/m: 	 no AP.
Increasing amplitude: 	88.6051  V/m: 	 no AP.
Increasing amplitude: 	96.6246  V/m: 	 no AP.
Increasing amplitude: 	0.1054 kV/m: 	 no AP.
Increasing amplitude: 	0.1149 kV/m: 	 no AP.
Increasing amplitude: 	0.1253 kV/m: 	 no AP.
Increasing amplitude: 	0.1366 kV/m: 	 no AP.
Increasing amplitude: 	0.1490 kV/m: 	 no AP.
Increasing amplitude: 	0.1625 kV/m: 	 no AP.
Increasing amplitude: 	0.1772 kV/m: 	 no AP.
Increasing amplitude: 	0.1932 kV/m: 	 no AP.
Increasing amplitude: 	0.2107 kV/m: 	 no AP.
Increasing amplitude: 	0.2298 kV/m: 	 no AP.
Increasing amplitude: 	0.2506 kV/m: 	 no AP.
Increasing amplitude: 	0.2733 kV/m: 	 no AP.
Increasing amplitude: 	0.2980 kV/m: 	 no AP.
Increasing amplitude: 	0.3250 kV/m: 	 no AP.
Increasing amplitude: 	0.3544 kV/m: 	 no AP.
Increasing amplitude: 	0.3865 kV/m: 	 no AP.
Increasing amplitude: 	0.4215 kV/m: 	 no AP.
Increasing amplitude: 	0.4596 kV/m: 	 no AP.
Increasing amplitude: 	0.5012 kV/m: 	 no AP.
Increasing amplitude: 	0.5466 kV/m: 	 no AP.
Increasing amplitude: 	0.5961 kV/m: 	 no AP.
Increasing amplitude: 	0.6500 kV/m: 	 no AP.
Increasing amplitude: 	0.7088 kV/m: 	 no AP.
Increasing amplitude: 	0.7730 kV/m: 	 no AP.
Increasing amplitude: 	0.8430 kV/m: 	 no AP.
Increasing amplitude: 	0.9193 kV/m: 	 no AP.
Increasing amplitude: 	1.0025 kV/m: 	 no AP.
Increasing amplitude: 	1.0932 kV/m: 	 no AP.
Increasing amplitude: 	1.1921 kV/m: 	 no AP.
Increasing amplitude: 	1.3000 kV/m: 	 no AP.
Increasing amplitude: 	1.4177 kV/m: 	 no AP.
Increasing amplitude: 	1.5460 kV/m: 	 no AP.
Increasing amplitude: 	1.6859 kV/m: 	 no AP.
Increasing amplitude: 	1.8385 kV/m: 	 no AP.
Increasing amplitude: 	2.0049 kV/m: 	 no AP.
Increasing amplitude: 	2.1864 kV/m: 	 no AP.
Increasing amplitude: 	2.3842 kV/m: 	 no AP.
Increasing amplitude: 	2.6000 kV/m: 	 no AP.
Increasing amplitude: 	2.8354 kV/m: 	 no AP.
Increasing amplitude: 	3.0920 kV/m: 	 no AP.
Increasing amplitude: 	3.3718 kV/m: 	 no AP.
Increasing amplitude: 	3.6770 kV/m: 	 no AP.
Increasing amplitude: 	4.0098 kV/m: 	 no AP.
Increasing amplitude: 	4.3727 kV/m: 	 no AP.
Increasing amplitude: 	4.7685 kV/m: 	 no AP.
Increasing amplitude: 	5.2001 kV/m: 	 no AP.
Increasing amplitude: 	5.6707 kV/m: 	 no AP.
Increasing amplitude: 	6.1840 kV/m: 	 no AP.
Increasing amplitude: 	6.7437 kV/m: 	 no AP.
Increasing amplitude: 	7.3540 kV/m: 	 no AP.
Increasing amplitude: 	8.0196 kV/m: 	 no AP.
Increasing amplitude: 	8.7455 kV/m: 	 no AP.
Increasing amplitude: 	9.5370 kV/m: 	 no AP.
Increasing amplitude: 	10.4002 kV/m: 	 no AP.
Increasing amplitude: 	11.3415 kV/m: 	 no AP.
Increasing amplitude: 	12.3679 kV/m: 	 no AP.
Increasing amplitude: 	13.4873 kV/m: 	 no AP.
Increasing amplitude: 	14.7081 kV/m: 	 no AP.
Increasing amplitude: 	16.0392 kV/m: 	 no AP.
Increasing amplitude: 	17.4909 kV/m: 	 no AP.
Increasing amplitude: 	19.0740 kV/m: 	 no AP.
Increasing amplitude: 	20.8003 kV/m: 	 no AP.
Increasing amplitude: 	22.6829 kV/m: 	 no AP.
Increasing amplitude: 	24.7359 kV/m: 	 no AP.
Increasing amplitude: 	26.9747 kV/m: 	 no AP.
