Model type: 	Axon terminal
Parameter ID:	408
Pulse duration in ms:	0.4500
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	5.1098  V/m: 	 no AP.
Increasing amplitude: 	5.5723  V/m: 	 no AP.
Increasing amplitude: 	6.0767  V/m: 	 no AP.
Increasing amplitude: 	6.6267  V/m: 	 no AP.
Increasing amplitude: 	7.2264  V/m: 	 no AP.
Increasing amplitude: 	7.8805  V/m: 	 no AP.
Increasing amplitude: 	8.5937  V/m: 	 no AP.
Increasing amplitude: 	9.3715  V/m: 	 no AP.
Increasing amplitude: 	10.2197  V/m: 	 no AP.
Increasing amplitude: 	11.1447  V/m: 	 no AP.
Increasing amplitude: 	12.1533  V/m: 	 no AP.
Increasing amplitude: 	13.2533  V/m: 	 no AP.
Increasing amplitude: 	14.4528  V/m: 	 no AP.
Increasing amplitude: 	15.7609  V/m: 	 no AP.
Increasing amplitude: 	17.1874  V/m: 	 no AP.
Increasing amplitude: 	18.7430  V/m: 	 no AP.
Increasing amplitude: 	20.4394  V/m: 	 no AP.
Increasing amplitude: 	22.2893  V/m: 	 no AP.
Increasing amplitude: 	24.3067  V/m: 	 no AP.
Increasing amplitude: 	26.5066  V/m: 	 no AP.
Increasing amplitude: 	28.9057  V/m: 	 no AP.
Increasing amplitude: 	31.5218  V/m: 	 no AP.
Increasing amplitude: 	34.3748  V/m: 	 no AP.
Increasing amplitude: 	37.4860  V/m: 	 no AP.
Increasing amplitude: 	40.8788  V/m: 	 no AP.
Increasing amplitude: 	44.5786  V/m: 	 no AP.
Increasing amplitude: 	48.6133  V/m: 	 no AP.
Increasing amplitude: 	53.0132  V/m: 	 no AP.
Increasing amplitude: 	57.8113  V/m: 	 no AP.
Increasing amplitude: 	63.0437  V/m: 	 no AP.
Increasing amplitude: 	68.7496  V/m: 	 no AP.
Increasing amplitude: 	74.9720  V/m: 	 no AP.
Increasing amplitude: 	81.7575  V/m: 	 no AP.
Increasing amplitude: 	89.1572  V/m: 	 no AP.
Increasing amplitude: 	97.2266  V/m: 	 no AP.
Increasing amplitude: 	0.1060 kV/m: 	 no AP.
Increasing amplitude: 	0.1156 kV/m: 	 no AP.
Increasing amplitude: 	0.1261 kV/m: 	 no AP.
Increasing amplitude: 	0.1375 kV/m: 	 no AP.
Increasing amplitude: 	0.1499 kV/m: 	 no AP.
Increasing amplitude: 	0.1635 kV/m: 	 no AP.
Increasing amplitude: 	0.1783 kV/m: 	 no AP.
Increasing amplitude: 	0.1945 kV/m: 	 no AP.
Increasing amplitude: 	0.2121 kV/m: 	 no AP.
Increasing amplitude: 	0.2312 kV/m: 	 no AP.
Increasing amplitude: 	0.2522 kV/m: 	 no AP.
Increasing amplitude: 	0.2750 kV/m: 	 no AP.
Increasing amplitude: 	0.2999 kV/m: 	 no AP.
Increasing amplitude: 	0.3270 kV/m: 	 no AP.
Increasing amplitude: 	0.3566 kV/m: 	 no AP.
Increasing amplitude: 	0.3889 kV/m: 	 no AP.
Increasing amplitude: 	0.4241 kV/m: 	 no AP.
Increasing amplitude: 	0.4625 kV/m: 	 no AP.
Increasing amplitude: 	0.5043 kV/m: 	 no AP.
Increasing amplitude: 	0.5500 kV/m: 	 no AP.
Increasing amplitude: 	0.5998 kV/m: 	 no AP.
Increasing amplitude: 	0.6541 kV/m: 	 no AP.
Increasing amplitude: 	0.7133 kV/m: 	 no AP.
Increasing amplitude: 	0.7778 kV/m: 	 no AP.
Increasing amplitude: 	0.8482 kV/m: 	 no AP.
Increasing amplitude: 	0.9250 kV/m: 	 no AP.
Increasing amplitude: 	1.0087 kV/m: 	 no AP.
Increasing amplitude: 	1.1000 kV/m: 	 no AP.
Increasing amplitude: 	1.1996 kV/m: 	 no AP.
Increasing amplitude: 	1.3081 kV/m: 	 no AP.
Increasing amplitude: 	1.4265 kV/m: 	 no AP.
Increasing amplitude: 	1.5556 kV/m: 	 no AP.
Increasing amplitude: 	1.6964 kV/m: 	 no AP.
Increasing amplitude: 	1.8500 kV/m: 	 no AP.
Increasing amplitude: 	2.0174 kV/m: 	 no AP.
Increasing amplitude: 	2.2000 kV/m: 	 no AP.
Increasing amplitude: 	2.3991 kV/m: 	 no AP.
Increasing amplitude: 	2.6162 kV/m: 	 no AP.
Increasing amplitude: 	2.8530 kV/m: 	 no AP.
Increasing amplitude: 	3.1113 kV/m: 	 no AP.
Increasing amplitude: 	3.3928 kV/m: 	 no AP.
Increasing amplitude: 	3.6999 kV/m: 	 no AP.
Increasing amplitude: 	4.0348 kV/m: 	 no AP.
Increasing amplitude: 	4.4000 kV/m: 	 no AP.
Increasing amplitude: 	4.7982 kV/m: 	 no AP.
Increasing amplitude: 	5.2325 kV/m: 	 no AP.
Increasing amplitude: 	5.7061 kV/m: 	 no AP.
Increasing amplitude: 	6.2225 kV/m: 	 no AP.
Increasing amplitude: 	6.7857 kV/m: 	 no AP.
Increasing amplitude: 	7.3998 kV/m: 	 no AP.
Increasing amplitude: 	8.0696 kV/m: 	 no AP.
Increasing amplitude: 	8.8000 kV/m: 	 no AP.
Increasing amplitude: 	9.5964 kV/m: 	 no AP.
Increasing amplitude: 	10.4650 kV/m: 	 no AP.
Increasing amplitude: 	11.4121 kV/m: 	 no AP.
Increasing amplitude: 	12.4450 kV/m: 	 no AP.
Increasing amplitude: 	13.5714 kV/m: 	 no AP.
Increasing amplitude: 	14.7997 kV/m: 	 no AP.
Increasing amplitude: 	16.1392 kV/m: 	 no AP.
Increasing amplitude: 	17.5999 kV/m: 	 no AP.
Increasing amplitude: 	19.1928 kV/m: 	 no AP.
Increasing amplitude: 	20.9299 kV/m: 	 no AP.
Increasing amplitude: 	22.8242 kV/m: 	 no AP.
Increasing amplitude: 	24.8900 kV/m: 	 no AP.
Increasing amplitude: 	27.1428 kV/m: 	 no AP.
Increasing amplitude: 	29.5994 kV/m: 	 no AP.
Increasing amplitude: 	32.2784 kV/m: 	 no AP.
Increasing amplitude: 	35.1998 kV/m: 	 no AP.
Increasing amplitude: 	38.3857 kV/m: 	 no AP.
Increasing amplitude: 	41.8599 kV/m: 	 no AP.
Increasing amplitude: 	45.6485 kV/m: 	 no AP.
Increasing amplitude: 	49.7800 kV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 1.14 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	5.1098  V/m: 	 no AP.
