Model type: 	Axon terminal
Parameter ID:	96
Pulse duration in ms:	0.0031
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.4628 kV/m: 	 no AP.
Increasing amplitude: 	0.5047 kV/m: 	 no AP.
Increasing amplitude: 	0.5504 kV/m: 	 no AP.
Increasing amplitude: 	0.6002 kV/m: 	 no AP.
Increasing amplitude: 	0.6546 kV/m: 	 no AP.
Increasing amplitude: 	0.7138 kV/m: 	 no AP.
Increasing amplitude: 	0.7784 kV/m: 	 no AP.
Increasing amplitude: 	0.8488 kV/m: 	 no AP.
Increasing amplitude: 	0.9257 kV/m: 	 no AP.
Increasing amplitude: 	1.0095 kV/m: 	 no AP.
Increasing amplitude: 	1.1008 kV/m: 	 no AP.
Increasing amplitude: 	1.2005 kV/m: 	 no AP.
Increasing amplitude: 	1.3091 kV/m: 	 no AP.
Increasing amplitude: 	1.4276 kV/m: 	 no AP.
Increasing amplitude: 	1.5568 kV/m: 	 no AP.
Increasing amplitude: 	1.6977 kV/m: 	 no AP.
Increasing amplitude: 	1.8514 kV/m: 	 no AP.
Increasing amplitude: 	2.0189 kV/m: 	 no AP.
Increasing amplitude: 	2.2016 kV/m: 	 no AP.
Increasing amplitude: 	2.4009 kV/m: 	 no AP.
Increasing amplitude: 	2.6182 kV/m: 	 no AP.
Increasing amplitude: 	2.8552 kV/m: 	 no AP.
Increasing amplitude: 	3.1136 kV/m: 	 no AP.
Increasing amplitude: 	3.3954 kV/m: 	 no AP.
Increasing amplitude: 	3.7027 kV/m: 	 no AP.
Increasing amplitude: 	4.0378 kV/m: 	 no AP.
Increasing amplitude: 	4.4033 kV/m: 	 no AP.
Increasing amplitude: 	4.8018 kV/m: 	 no AP.
Increasing amplitude: 	5.2364 kV/m: 	 no AP.
Increasing amplitude: 	5.7103 kV/m: 	 no AP.
Increasing amplitude: 	6.2272 kV/m: 	 no AP.
Increasing amplitude: 	6.7908 kV/m: 	 no AP.
Increasing amplitude: 	7.4054 kV/m: 	 no AP.
Increasing amplitude: 	8.0757 kV/m: 	 no AP.
Increasing amplitude: 	8.8066 kV/m: 	 no AP.
Increasing amplitude: 	9.6036 kV/m: 	 no AP.
Increasing amplitude: 	10.4728 kV/m: 	 no AP.
Increasing amplitude: 	11.4207 kV/m: 	 no AP.
Increasing amplitude: 	12.4544 kV/m: 	 no AP.
Increasing amplitude: 	13.5816 kV/m: 	 no AP.
Increasing amplitude: 	14.8108 kV/m: 	 no AP.
Increasing amplitude: 	16.1513 kV/m: 	 no AP.
Increasing amplitude: 	17.6131 kV/m: 	 no AP.
Increasing amplitude: 	19.2072 kV/m: 	 no AP.
Increasing amplitude: 	20.9457 kV/m: 	 no AP.
Increasing amplitude: 	22.8414 kV/m: 	 no AP.
Increasing amplitude: 	24.9087 kV/m: 	 no AP.
Increasing amplitude: 	27.1632 kV/m: 	 no AP.
Increasing amplitude: 	29.6216 kV/m: 	 no AP.
Increasing amplitude: 	32.3026 kV/m: 	 no AP.
Increasing amplitude: 	35.2263 kV/m: 	 no AP.
Increasing amplitude: 	38.4145 kV/m: 	 no AP.
Increasing amplitude: 	41.8913 kV/m: 	 no AP.
Increasing amplitude: 	45.6828 kV/m: 	 no AP.
Increasing amplitude: 	49.8174 kV/m: 	 no AP.
Increasing amplitude: 	54.3263 kV/m: 	 no AP.
Increasing amplitude: 	59.2433 kV/m: 	 no AP.
Increasing amplitude: 	64.6052 kV/m: 	 no AP.
Increasing amplitude: 	70.4525 kV/m: 	 no AP.
Increasing amplitude: 	76.8290 kV/m: 	 no AP.
Increasing amplitude: 	83.7826 kV/m: 	 no AP.
Increasing amplitude: 	91.3656 kV/m: 	 no AP.
Increasing amplitude: 	99.6349 kV/m: 	 no AP.
Increasing amplitude: 	0.1087 MV/m: 	 no AP.
Increasing amplitude: 	0.1185 MV/m: 	 no AP.
Increasing amplitude: 	0.1292 MV/m: 	 no AP.
Increasing amplitude: 	0.1409 MV/m: 	 no AP.
Increasing amplitude: 	0.1537 MV/m: 	 no AP.
Increasing amplitude: 	0.1676 MV/m: 	 no AP.
Increasing amplitude: 	0.1827 MV/m: 	 no AP.
Increasing amplitude: 	0.1993 MV/m: 	 no AP.
Increasing amplitude: 	0.2173 MV/m: 	 no AP.
Increasing amplitude: 	0.2370 MV/m: 	 no AP.
Increasing amplitude: 	0.2584 MV/m: 	 no AP.
Increasing amplitude: 	0.2818 MV/m: 	 no AP.
Increasing amplitude: 	0.3073 MV/m: 	 no AP.
Increasing amplitude: 	0.3351 MV/m: 	 no AP.
Increasing amplitude: 	0.3655 MV/m: 	 no AP.
Increasing amplitude: 	0.3985 MV/m: 	 no AP.
Increasing amplitude: 	0.4346 MV/m: 	 no AP.
Increasing amplitude: 	0.4739 MV/m: 	 no AP.
Increasing amplitude: 	0.5168 MV/m: 	 no AP.
Increasing amplitude: 	0.5636 MV/m: 	 no AP.
Increasing amplitude: 	0.6146 MV/m: 	 no AP.
Increasing amplitude: 	0.6703 MV/m: 	 no AP.
Increasing amplitude: 	0.7309 MV/m: 	 no AP.
Increasing amplitude: 	0.7971 MV/m: 	 no AP.
Increasing amplitude: 	0.8692 MV/m: 	 no AP.
Increasing amplitude: 	0.9479 MV/m: 	 no AP.
Increasing amplitude: 	1.0337 MV/m: 	 no AP.
Increasing amplitude: 	1.1272 MV/m: 	 no AP.
Increasing amplitude: 	1.2293 MV/m: 	 no AP.
Increasing amplitude: 	1.3405 MV/m: 	 no AP.
Increasing amplitude: 	1.4618 MV/m: 	 no AP.
Increasing amplitude: 	1.5942 MV/m: 	 no AP.
Increasing amplitude: 	1.7384 MV/m: 	 no AP.
Increasing amplitude: 	1.8958 MV/m: 	 no AP.
Increasing amplitude: 	2.0674 MV/m: 	 no AP.
Increasing amplitude: 	2.2545 MV/m: 	 no AP.
Increasing amplitude: 	2.4585 MV/m: 	 no AP.
Increasing amplitude: 	2.6810 MV/m: 	 no AP.
Increasing amplitude: 	2.9237 MV/m: 	 no AP.
Increasing amplitude: 	3.1883 MV/m: 	 no AP.
Increasing amplitude: 	3.4769 MV/m: 	 no AP.
Increasing amplitude: 	3.7916 MV/m: 	 no AP.
Increasing amplitude: 	4.1347 MV/m: 	 no AP.
Increasing amplitude: 	4.5090 MV/m: 	 no AP.
All trials subthreshold. Threshold could not be determined.
 
 
Run time for search: 1.28 min.
 
-----------------------------------------------------------
Solver: MCE
 
Initial search with:  	0.4628 kV/m: 	 no AP.
Increasing amplitude: 	0.5047 kV/m: 	 no AP.
Increasing amplitude: 	0.5504 kV/m: 	 no AP.
Increasing amplitude: 	0.6002 kV/m: 	 no AP.
Increasing amplitude: 	0.6546 kV/m: 	 no AP.
Increasing amplitude: 	0.7138 kV/m: 	 no AP.
Increasing amplitude: 	0.7784 kV/m: 	 no AP.
Increasing amplitude: 	0.8488 kV/m: 	 no AP.
Increasing amplitude: 	0.9257 kV/m: 	 no AP.
Increasing amplitude: 	1.0095 kV/m: 	 no AP.
Increasing amplitude: 	1.1008 kV/m: 	 no AP.
Increasing amplitude: 	1.2005 kV/m: 	 no AP.
Increasing amplitude: 	1.3091 kV/m: 	 no AP.
Increasing amplitude: 	1.4276 kV/m: 	 no AP.
Increasing amplitude: 	1.5568 kV/m: 	 no AP.
Increasing amplitude: 	1.6977 kV/m: 	 no AP.
Increasing amplitude: 	1.8514 kV/m: 	 no AP.
Increasing amplitude: 	2.0189 kV/m: 	 no AP.
Increasing amplitude: 	2.2016 kV/m: 	 no AP.
Increasing amplitude: 	2.4009 kV/m: 	 no AP.
Increasing amplitude: 	2.6182 kV/m: 	 no AP.
Increasing amplitude: 	2.8552 kV/m: 	 no AP.
Increasing amplitude: 	3.1136 kV/m: 	 no AP.
Increasing amplitude: 	3.3954 kV/m: 	 no AP.
Increasing amplitude: 	3.7027 kV/m: 	 no AP.
Increasing amplitude: 	4.0378 kV/m: 	 no AP.
Increasing amplitude: 	4.4033 kV/m: 	 no AP.
Increasing amplitude: 	4.8018 kV/m: 	 no AP.
Increasing amplitude: 	5.2364 kV/m: 	 no AP.
Increasing amplitude: 	5.7103 kV/m: 	 no AP.
Increasing amplitude: 	6.2272 kV/m: 	 no AP.
Increasing amplitude: 	6.7908 kV/m: 	 no AP.
Increasing amplitude: 	7.4054 kV/m: 	 no AP.
Increasing amplitude: 	8.0757 kV/m: 	 no AP.
Increasing amplitude: 	8.8066 kV/m: 	 no AP.
Increasing amplitude: 	9.6036 kV/m: 	 no AP.
Increasing amplitude: 	10.4728 kV/m: 	 no AP.
Increasing amplitude: 	11.4207 kV/m: 	 no AP.
Increasing amplitude: 	12.4544 kV/m: 	 no AP.
Increasing amplitude: 	13.5816 kV/m: 	 no AP.
Increasing amplitude: 	14.8108 kV/m: 	 no AP.
Increasing amplitude: 	16.1513 kV/m: 	 no AP.
Increasing amplitude: 	17.6131 kV/m: 	 no AP.
Increasing amplitude: 	19.2072 kV/m: 	 no AP.
Increasing amplitude: 	20.9457 kV/m: 	 no AP.
Increasing amplitude: 	22.8414 kV/m: 	 no AP.
Increasing amplitude: 	24.9087 kV/m: 	 no AP.
Increasing amplitude: 	27.1632 kV/m: 	 AP.
Lower bound: 24.9087 kV/m.   Upper bound: 27.1632 kV/m.   Search amplitude: 26.0115 kV/m: AP.
Lower bound: 24.9087 kV/m.   Upper bound: 26.0115 kV/m.   Search amplitude: 25.4542 kV/m: AP.
Lower bound: 24.9087 kV/m.   Upper bound: 25.4542 kV/m.   Search amplitude: 25.1800 kV/m: no AP.
Lower bound: 25.1800 kV/m.   Upper bound: 25.4542 kV/m.   Search amplitude: 25.3167 kV/m: AP.
Lower bound: 25.1800 kV/m.   Upper bound: 25.3167 kV/m.   Search amplitude: 25.2482 kV/m: no AP.
Binary search ended. Threshold: 25.2482 kV/m.
Percentage difference: -100.000 %.
 
Run time for search: 0.71 min.
 
-----------------------------------------------------------
Total run time: 1.997 min.
Results saved in UF_TrmB_RMG/Results/result_96.mat.
