Model type: 	Axon terminal with synapse
Parameter ID:	144
Pulse duration in ms:	0.0068
Field orientation in degrees:	90.0
-----------------------------------------------------------
Solver: CE
 
Initial search with:  	0.1952 kV/m: 	 no AP.
Increasing amplitude: 	0.2128 kV/m: 	 no AP.
Increasing amplitude: 	0.2321 kV/m: 	 no AP.
Increasing amplitude: 	0.2531 kV/m: 	 no AP.
Increasing amplitude: 	0.2760 kV/m: 	 no AP.
Increasing amplitude: 	0.3010 kV/m: 	 no AP.
Increasing amplitude: 	0.3282 kV/m: 	 no AP.
Increasing amplitude: 	0.3579 kV/m: 	 no AP.
Increasing amplitude: 	0.3903 kV/m: 	 no AP.
Increasing amplitude: 	0.4257 kV/m: 	 no AP.
Increasing amplitude: 	0.4642 kV/m: 	 no AP.
Increasing amplitude: 	0.5062 kV/m: 	 no AP.
Increasing amplitude: 	0.5520 kV/m: 	 no AP.
Increasing amplitude: 	0.6020 kV/m: 	 no AP.
Increasing amplitude: 	0.6565 kV/m: 	 no AP.
Increasing amplitude: 	0.7159 kV/m: 	 no AP.
Increasing amplitude: 	0.7807 kV/m: 	 no AP.
Increasing amplitude: 	0.8513 kV/m: 	 no AP.
Increasing amplitude: 	0.9284 kV/m: 	 no AP.
Increasing amplitude: 	1.0124 kV/m: 	 no AP.
Increasing amplitude: 	1.1040 kV/m: 	 no AP.
Increasing amplitude: 	1.2040 kV/m: 	 no AP.
Increasing amplitude: 	1.3129 kV/m: 	 no AP.
Increasing amplitude: 	1.4318 kV/m: 	 no AP.
Increasing amplitude: 	1.5614 kV/m: 	 no AP.
Increasing amplitude: 	1.7027 kV/m: 	 no AP.
Increasing amplitude: 	1.8568 kV/m: 	 no AP.
Increasing amplitude: 	2.0248 kV/m: 	 no AP.
Increasing amplitude: 	2.2081 kV/m: 	 no AP.
Increasing amplitude: 	2.4079 kV/m: 	 no AP.
Increasing amplitude: 	2.6259 kV/m: 	 no AP.
Increasing amplitude: 	2.8636 kV/m: 	 no AP.
Increasing amplitude: 	3.1227 kV/m: 	 no AP.
Increasing amplitude: 	3.4054 kV/m: 	 no AP.
Increasing amplitude: 	3.7136 kV/m: 	 no AP.
Increasing amplitude: 	4.0497 kV/m: 	 no AP.
Increasing amplitude: 	4.4162 kV/m: 	 no AP.
Increasing amplitude: 	4.8159 kV/m: 	 no AP.
Increasing amplitude: 	5.2518 kV/m: 	 no AP.
Increasing amplitude: 	5.7271 kV/m: 	 no AP.
